ID,UID,MBTI,mbti,Age,gender,race,exerciseFreq,weight,workingHour,jobType,CR,denominator,molecular,feedback,repetitiveness,group,message,coachReco,messageType,msgType
24,Optional(-Kg6ilG6SgAqhSusajNg),,,,,,,,,,NA,0,0,0,1,2,0,0,,
25,Optional(-Kg70MB_iOdExxVx_8sE),T,0,25,0,4,0,101,2,2,100,2,2,0,0,2,0,0,0,2
26,Optional(-Kg7MDoYfKt5TFwjB43U),F,1,20,0,4,0,121,0,0,100,2,2,1,1,1,1,0,L,0
27,Optional(-Kg7W9PYcWO83XdO812P),F,1,21,1,,1,128,1,1,50,2,1,1,1,1,1,0,L,0
28,Optional(-Kg7vZNL-LF6Hfzx7sit),F,1,25,0,4,0,,2,2,100,2,2,0,1,0,1,0,E,1
29,Optional(-Kg80f8RP603XUwVdM4F),,,,,,,,,,NA,0,0,1,0,2,0,0,,
30,Optional(-Kg8wPMZN5XLdZ4G-JNO),T,0,36,0,4,2,145,0,0,NA,0,0,0,1,2,0,0,0,2
31,Optional(-Kg9A3WUhExs4NFUSQW6),,,,,,,,,,NA,0,0,0,0,0,1,0,,
32,Optional(-Kg9wS6HVS2t3U0wExA0),,,,,,,,,,NA,0,0,1,0,1,1,0,,
33,Optional(-KgA4AmAHxMroaFvSHgD),T,0,25,0,4,4,132,2,2,100,2,2,1,0,2,0,0,0,2
34,Optional(-KgAJc15ca3-6khPrWqa),F,1,30,0,4,3,123,2,2,100,2,2,0,0,1,1,0,L,0
35,Optional(-KgC46KoC2TPY-AzxXkc),F,1,36,1,4,2,176,1,,100,6,6,1,1,1,1,0,L,0
36,Optional(-KgDFQAvF8KjfZuCDV8L),T,0,23,1,4,3,121,0,,0,1,0,1,0,2,0,0,0,2
37,Optional(-KgE5J_ihFIzpjGYGwtr),T,0,24,0,4,2,105,1,1,NA,0,0,0,0,2,0,0,0,2
38,Optional(-KgF7U1-Uzho_Ua7xfRF),,,,,,,,,,NA,0,0,1,0,0,1,0,,
39,Optional(-KgOAWjK95DfcKuO8W-s),F,1,25,0,4,2,123,1,1,NA,0,0,1,0,0,1,0,E,1
40,Optional(-KgTfjJcxXvqO_t9ZSEw),T,0,24,1,4,4,185,2,2,100,13,13,0,0,2,0,0,0,2
41,Optional(-KgXrzmk081UqIKr0K8Z),F,1,35,1,4,3,188,2,2,NA,0,0,1,1,2,0,0,0,2
42,Optional(-KghjXMsQn3Nfg7NDzvK),,,,,,,,,,NA,0,0,1,0,0,1,0,,
43,Optional(-KgjMEaQmkcIzzODtwsz),T,0,33,0,4,3,,1,1,100,1,1,0,1,0,1,0,L,0
44,Optional(-Kh8Dhx8YekJ3NRp0Alo),,,,,,,,,,NA,0,0,1,1,1,1,0,,
45,Optional(-Kh8WTid4EYwCoddiVcd),,,,,,,,,,NA,0,0,0,1,0,1,0,,
46,Optional(-Kh8XpYIbBIV1cZcqjzm),,,,,,,,,,NA,0,0,0,0,1,1,0,,
47,Optional(-KhDCxp0QApaEgIpZaqP),F,1,,,,,,,,NA,0,0,1,0,0,1,0,E,1
48,Optional(-KhDZ9iKH51q3TvPy7Ef),F,1,,,,,,,,NA,0,0,1,1,1,1,0,L,0
49,Optional(-KhDc8ejXACH2zMBkhRN),F,1,,,,,,,,50,16,8,1,0,2,0,0,0,2
50,Optional(-KhZx9TZmaj8-fCITyQu),T,0,60,1,4,5,150,1,1,NA,0,0,0,1,0,1,0,L,0
51,Optional(-Ki0iHVbwsij9iOeXRnz),T,0,26,0,4,1,132,2,2,69.23076923,13,9,1,0,0,1,0,L,0
52,Optional(-KiPSoX6aZ-_mNCYdOY8),T,0,0,0,1,0,0,3,,50,2,1,1,1,1,1,1,E,1
53,Optional(-KizAX-kigFx_kNj6Wpe),,,,,,,,,,NA,0,0,1,1,1,1,0,,
54,Optional(-Kj44T18fZtjOd75cZwJ),F,1,26,0,4,1,132,2,0,85.71428571,7,6,1,1,1,1,1,L,0
55,Optional(-Kj6p-cragvOLecKAB5J),,,,,,,,,,NA,0,0,0,0,2,0,0,,
56,Optional(-Kj7474p7p2C-PI7DL8D),,,,,,,,,,NA,0,0,0,0,2,0,0,,
57,Optional(-Kj8VxEVmoM917whLHsV),,,,,,,,,,NA,0,0,1,1,0,1,0,,
58,Optional(-Kj9jDxyZmZPCzOWy09l),,,,,,,,,,NA,0,0,0,0,0,1,0,,
59,Optional(-KjB3XVlrB5hQwBPVcW3),F,1,26,0,4,2,132,2,0,77.77777778,18,14,1,1,0,1,1,E,1
60,Optional(-KjBerg0XQEtu70urHWx),F,1,22,1,4,3,168,1,0,NA,0,0,0,1,1,1,1,L,0
61,Optional(-KjBpt42AlRJEQ0ODE01),T,0,30,0,4,3,127,2,0,100,16,16,0,1,2,0,1,0,2
62,Optional(-KjCLy1sPj8X1De-VXbo),F,1,56,0,4,0,176,0,2,95.23809524,42,40,0,0,0,1,1,E,1
63,Optional(-KjCRB9C2qssLZ6FKyj7),F,1,30,0,4,2,128,1,0,NA,0,0,1,1,0,1,1,E,1
64,Optional(-KjDOAbOGetX7zuCMeqg),T,0,49,0,4,3,139,1,0,NA,0,0,0,1,1,1,0,E,1
65,Optional(-KjRjT1A5KBsWUMHs9Nq),T,0,24,0,4,3,45,1,0,88.88888889,9,8,0,1,2,0,1,0,2
66,Optional(-KjRlB22JTjlhu2IpnB3),T,0,20,0,4,2,138,2,0,100,7,7,1,0,1,1,1,E,1
67,Optional(-KjSTwPrd8wvURbhhDv-),T,0,20,0,4,1,132,2,0,0,3,0,0,0,0,1,1,L,0
68,Optional(-KjT_R6CgDLQ25nfY834),T,0,21,0,4,3,121,1,0,100,2,2,1,0,0,1,1,L,0
69,Optional(-Kja_TBvSZsnP-daK-Kh),T,0,24,0,4,0,125,2,0,NA,0,0,0,0,1,1,1,E,1
70,Optional(-Kjb86z47fkLSJyAOVvr),T,0,27,1,4,3,182,2,0,NA,0,0,0,1,1,1,1,E,1
71,Optional(-KjbAH0fX4XoEMygZpDN),F,1,38,0,4,1,110,2,0,NA,0,0,0,0,1,1,1,L,0
72,Optional(-KjbAzpL_rgX52Gn78ab),,,,,,,,,,NA,0,0,0,0,0,1,0,,
73,Optional(-KjbCefn4670UhTf8zxG),T,0,19,0,4,0,47,0,1,NA,0,0,0,0,1,1,1,E,1
74,Optional(-KjbE25GVhCCaL0Vlidv),T,0,36,1,4,3,139,2,0,72.72727273,11,8,1,0,1,1,1,E,1
75,Optional(-KjbEBkLXsbylUBf_TSE),F,1,26,0,4,2,121,1,2,100,8,8,1,0,2,0,1,0,2
76,Optional(-KjbFDvezNUSnxSrm2TG),T,0,45,0,4,3,130,1,2,0,1,0,1,0,2,0,1,0,2
77,Optional(-KjbFHKYLSwh2M0x0wYF),,,,,,,,,,NA,0,0,0,1,0,1,0,,
78,Optional(-KjbFag58MA0erm339Te),T,0,34,1,4,1,180,2,0,66.66666667,6,4,1,0,1,1,1,E,1
79,Optional(-KjbFbOhfmFglguSspuQ),T,0,37,0,4,0,52,2,0,NA,0,0,1,0,2,0,1,0,2
80,Optional(-KjbHjqsEP4nwU1B5_SJ),F,1,29,1,4,2,149,2,0,100,7,7,0,1,2,0,1,0,2
81,Optional(-KjbRl1695cxrFQbQucb),T,0,21,0,4,5,45,2,0,NA,0,0,1,0,1,1,1,E,1
82,Optional(-KjbTNJ0LlzG0XULdQYE),T,0,26,0,4,,118,2,0,100,6,6,1,1,0,1,1,L,0
83,Optional(-KjbcJSvy4c3bH3U-gRp),T,0,45,1,4,2,160,1,0,66.66666667,3,2,1,0,1,1,1,E,1
84,Optional(-KjbimIQc1O_pVuAhAXj),F,1,25,1,4,3,154,0,0,100,8,8,1,1,2,0,1,0,2
85,Optional(-Kjc5c7i3VH3HnsP9HBs),T,0,28,0,4,4,50,2,0,NA,0,0,1,0,2,0,1,0,2
86,Optional(-KjcT48SH47V7eqmdWpQ),F,1,27,1,4,2,154,1,0,NA,0,0,1,1,1,1,1,L,0
87,Optional(-Kjci562b_X1L8vfg9pg),T,0,23,0,4,1,99,2,0,100,6,6,0,1,1,1,1,E,1
88,Optional(-KjelzkXgcXrXXwDDmv_),,,,,,,,,,NA,0,0,0,0,0,1,0,,
89,Optional(-KjfYxsTs3tJfmiFiKHv),T,0,27,0,4,1,110,1,0,33.33333333,3,1,0,0,2,0,1,0,2
90,Optional(-Kjg9kTl14yMkbiXCw4_),T,0,23,1,4,5,121,1,0,100,1,1,1,0,0,1,1,L,0
91,Optional(-Kjh3gb4A_BRvyj4KfG_),F,1,27,1,4,3,211,2,2,100,1,1,1,0,1,1,0,L,0
92,Optional(-Kjh8zAzi9zxccJK53Wx),,,,,,,,,,NA,0,0,0,0,1,1,0,,
93,Optional(-KjhCbkVJRzpLzXywN4q),T,0,28,1,4,2,86,0,2,66.66666667,6,4,1,0,1,1,1,E,1
94,Optional(-KjhFVb8IwU6c0komCRa),T,0,26,0,4,2,132,2,0,16.66666667,6,1,0,0,2,0,1,0,2
95,Optional(-KjhHO7B3LoxGiuPjccE),F,1,26,0,4,3,66,1,1,87.5,8,7,0,1,0,1,1,E,1
96,Optional(-KjhKh1ybwSDdp5rseF1),,,,,,,,,,NA,0,0,1,1,0,1,0,,
97,Optional(-KjhNKDCGDrmIUUfEvsq),F,1,30,0,4,2,130,1,0,NA,0,0,0,1,0,1,1,E,1
98,Optional(-KjhNMdTZqIkUeEA-k9p),T,0,30,1,4,0,165,2,2,40,5,2,0,0,1,1,0,E,1
99,Optional(-Kjhg9RjfE0nQyyy_1lS),T,0,23,0,4,0,90,1,0,NA,0,0,0,1,2,0,1,0,2
100,Optional(-KjhjrV1WGqK3YWgikBM),T,0,24,0,4,2,114,1,0,100,5,5,0,1,2,0,1,0,2
101,Optional(-Kjhk5D0d-M5yE_R1pvf),F,1,26,0,4,3,120,1,0,100,4,4,0,1,2,0,0,0,2
102,Optional(-KjhkaGElIQ6Mtbs2jNF),T,0,25,1,4,4,130,1,1,100,4,4,0,1,1,1,1,E,1
103,Optional(-KjhklJNEhbaO_tAMfpP),T,0,24,1,4,3,162,2,0,NA,0,0,0,0,0,1,1,L,0
104,Optional(-KjhlGPOKYibU_sqCKTy),T,0,45,0,4,0,103,2,0,0,2,0,1,0,0,1,1,L,0
105,Optional(-Kjhmh1hmMWMVC0zSjaE),,,,,,,,,,NA,0,0,0,1,2,0,0,,
106,Optional(-Kjhr5Vxou0GNbwCnuKn),T,0,45,0,4,2,130,1,0,100,2,2,1,1,2,0,1,0,2
107,Optional(-KjhtA1il8yzNAGJ93tF),T,0,23,1,4,,154,2,1,NA,0,0,0,0,2,0,1,0,2
108,Optional(-KjhtEEwcarU81zHrWRy),T,0,26,0,4,1,56,2,0,0,4,0,0,0,2,0,1,0,2
109,Optional(-KjhtWRA6Bc0APn1Im7c),T,0,26,1,4,4,85,2,0,NA,0,0,1,0,0,1,1,L,0
110,Optional(-KjhuYAumA8tdDlwhGQX),T,0,55,1,4,3,140,2,2,100,22,22,1,1,0,1,1,L,0
111,Optional(-KjhwnwTOl-gL80nnESS),T,0,27,0,4,3,128,2,0,33.33333333,3,1,1,0,0,1,0,L,0
112,Optional(-Kjhy3-9-4GuVH_KROyq),T,0,26,0,4,2,80,2,0,NA,0,0,1,0,1,1,1,E,1
113,Optional(-Kji4HEWazVSMKTg95vx),T,0,22,0,4,0,110,3,0,NA,0,0,1,1,0,1,1,L,0
114,Optional(-KjimwYZnqI5I-N55fR6),,,,,,,,,,NA,0,0,0,1,0,1,0,,
115,Optional(-KjkNnBfzR2PpMDcLT8h),T,0,24,0,4,3,121,1,0,NA,0,0,1,1,2,0,1,0,2
116,Optional(-KjkP_o8Sl8RMySA35W4),T,0,22,1,4,1,154,2,0,NA,0,0,1,0,0,1,1,L,0
117,Optional(-Kjk_h8GICmymAWzDAbh),,,,,,,,,,NA,0,0,1,0,2,0,0,,
118,Optional(-Kjkf5coU1pvBPzdY5qn),T,0,32,0,4,2,50,2,0,100,16,16,1,1,1,1,1,E,1
119,Optional(-Kjki_be2JScDl7vbqSJ),,,,,,,,,,NA,0,0,0,0,2,0,0,,
120,Optional(-Kjktl8U4DSEb9cZmmsp),T,0,24,0,4,0,116,1,0,50,2,1,1,1,2,0,1,0,2
121,Optional(-Kjl45d-0sW-WNqWOIjZ),T,0,21,0,3,2,100,2,1,50,4,2,0,0,2,0,1,0,2
122,Optional(-Kjl4E_NuGLCRx51tiA1),T,0,23,1,0,3,70,1,0,66.66666667,3,2,0,0,1,1,1,E,1
123,Optional(-KjlDzf6HbxKEqKLnsad),T,0,27,0,4,2,184,2,0,66.66666667,6,4,0,1,1,1,1,E,1
124,Optional(-KjlVFDR0-018ggn-fV5),F,1,23,1,4,3,137,1,0,NA,0,0,1,1,2,0,1,0,2
125,Optional(-Kjlj8ogWxzHX5m1rOyX),T,0,21,0,4,3,121,1,0,100,7,7,1,0,1,1,1,E,1
126,Optional(-KjmSBNjHFJ5b6NMrwyr),F,1,19,0,4,2,198,1,2,NA,0,0,1,0,0,1,1,E,1
127,Optional(-KjmiwSOxPSkfkD3ejkQ),F,1,30,0,4,1,127,2,0,NA,0,0,1,0,0,1,1,E,1
128,Optional(-KjmnuCpJfFGYLbTwXna),T,0,25,0,4,3,158,1,0,76.92307692,13,10,1,1,0,1,1,L,0
129,Optional(-KjmxOrc4fN81YMv058_),T,0,39,0,4,5,115,1,0,NA,0,0,1,1,1,1,1,E,1
130,Optional(-KjnIsbY0pNLGKDc7b6J),T,0,29,0,4,3,124,2,0,NA,0,0,1,1,0,1,1,L,0
131,Optional(-KjosJ-PQtq9E56YcBCY),T,0,25,0,4,3,128,2,0,NA,0,0,0,1,1,1,1,E,1
132,Optional(-KjpNkBAXnxpCzch4vSc),T,0,26,0,4,2,116,1,0,NA,0,0,0,0,1,1,1,E,1
133,Optional(-Kjq86HJuly-5SPHI6AH),T,0,23,0,4,4,65,1,0,NA,0,0,1,1,0,1,1,L,0
134,Optional(-KjqwbMPCwB8arqTM03u),T,0,19,0,4,3,110,1,0,100,1,1,1,1,2,0,1,0,2
135,Optional(-Kju6J-RXCEExpYrOx8D),T,0,22,0,4,1,132,1,0,NA,0,0,0,1,1,1,1,E,1
136,Optional(-KjvE21pQqlt__tIW6xv),,,,,,,,,,NA,0,0,0,1,0,1,0,,
137,Optional(-KjwRQL9zSlgKfkOSf_A),T,0,28,1,4,1,180,0,2,NA,0,0,1,1,2,0,0,0,2
138,Optional(-Kjx--3zydDCvoc2BWFN),T,0,25,1,4,5,71,2,0,NA,0,0,0,1,0,1,1,L,0
139,Optional(-KjxC2FKk1ZlhZ0NxgXV),T,0,24,1,4,3,83,0,2,83.33333333,6,5,0,1,1,1,1,E,1
140,Optional(-Kk-In4ilOTkklW7ukAL),T,0,32,0,4,1,97,1,2,100,2,2,1,1,1,1,1,E,1
141,Optional(-Kk-iaSZmc5axJefsJWB),T,0,25,0,4,5,143,2,0,100,5,5,0,1,0,1,1,L,0
142,Optional(-Kk1VxTP5opDsOCdVdti),T,0,26,0,4,2,132,1,0,80,10,8,0,1,1,1,1,E,1
143,Optional(-Kk1piYOEOUEIV45n3_X),,,,,,,,,,NA,0,0,0,1,0,1,0,,
144,Optional(-Kk3iZRYQC1TV-wZBYY0),,,,,,,,,,NA,0,0,1,1,0,1,0,,
145,Optional(-Kk4-9iGJ1CPlT9edJj6),T,0,28,0,4,4,141,3,2,NA,0,0,1,0,1,1,1,E,1
146,Optional(-Kk917kONpYbbpfQ1924),F,1,22,,,,,,,NA,0,0,0,1,2,0,0,0,2
147,Optional(-KkBynCJebfSGX2o_2fY),,,,,,,,,,NA,0,0,0,0,2,0,0,,
148,Optional(-KkK_oY3Pt7eCDxid1lv),F,1,30,1,4,2,74,1,2,100,4,4,0,1,0,1,0,E,1
149,Optional(-KkUuJBwcr24tqhLGG_O),T,0,27,0,4,0,55,1,0,NA,0,0,1,1,1,1,1,E,1
150,Optional(-KkXtfBx5E-KiEiSJc4D),T,0,33,0,4,1,123,1,2,NA,0,0,1,1,2,0,1,0,2
151,Optional(-KkeGMRJdCxfsJx__yzQ),F,1,42,0,4,3,127,2,0,85.71428571,7,6,1,0,1,1,0,L,0
152,Optional(-KkeGTGGhAYrSexlzYkg),T,0,56,1,4,2,145,1,1,100,1,1,1,1,0,1,0,L,0
153,Optional(-Kl8hFMO2uDPuUbH8B0e),T,0,26,0,4,4,110,0,1,100,2,2,0,1,0,1,0,L,0
154,Optional(-Kl8jwbqrX3ujgpEOTJq),T,0,31,1,4,6,154,0,1,100,2,2,1,1,2,0,0,0,2
155,Optional(-Kl8k5ONKMKc2iS1mLQf),T,0,32,1,4,3,160,1,1,100,3,3,0,1,1,1,1,E,1
156,Optional(-Kl8k7BY648vKOCTPwFk),T,0,25,0,4,5,127,2,1,80,5,4,0,0,1,1,0,E,1
157,Optional(-KlYlVDk4gu8t6VcJF1i),,,,,,,,,,NA,0,0,0,1,0,1,0,,
158,Optional(-KlgNg5hKzpWvDM9mBmq),T,0,27,0,4,2,102,2,0,85.71428571,7,6,0,0,1,1,1,E,1
159,Optional(-Klgy84zw9JytZfv6soE),F,1,27,1,4,4,132,0,1,100,8,8,0,0,2,0,1,0,2
160,Optional(-KlgyAtRG_zNjr6zajky),T,0,28,1,4,3,132,2,0,100,6,6,1,1,2,0,1,0,2
161,Optional(-KlslbBHOmWgmh-eGvG4),T,0,25,1,4,1,150,1,0,66.66666667,3,2,1,0,1,1,1,E,1
162,Optional(-KluwQLQiDJ1sYif-yuO),,,,,,,,,,NA,0,0,0,1,0,1,0,,
163,Optional(-Km1YsDssuoFtHks46Dk),T,0,25,0,4,0,50,3,0,85.71428571,7,6,0,1,1,1,1,E,1
164,Optional(-Km1_KmDuy0iIT00syWx),T,0,25,1,4,0,143,2,0,81.81818182,11,9,1,1,2,0,1,0,2
165,Optional(-Km9uWbnRnBsDUZHSTVf),,,,,,,,,,NA,0,0,1,1,1,1,0,,
166,Optional(-KmCC2rERWGxMJGfLFEr),T,0,48,1,4,1,163,2,0,NA,0,0,0,1,2,0,1,0,2
